,Tenure,WarehouseToHome,NumberOfDeviceRegistered,SatisfactionScore,NumberOfAddress,Complain,DaySinceLastOrder,CashbackAmount,Churn,PreferedOrderCat_Grocery,PreferedOrderCat_Laptop & Accessory,PreferedOrderCat_Mobile Phone,MaritalStatus_Married,MaritalStatus_Single
0,15.0,29.0,4,3,2,0,7.0,143.32,0,False,True,False,False,True
1,7.0,25.0,4,1,2,0,7.0,129.29,0,False,False,True,True,False
2,27.0,13.0,3,1,5,0,7.0,168.54,0,False,True,False,True,False
3,20.0,25.0,4,3,7,0,3.0,230.27,0,False,False,False,False,False
5,7.0,16.0,4,2,2,0,11.0,152.81,0,False,False,True,False,False
6,1.0,15.0,6,5,3,0,2.0,149.51,0,False,False,True,False,False
7,1.0,11.0,4,5,3,0,1.0,154.73,1,False,False,True,False,True
8,11.0,12.0,4,3,2,0,4.0,137.02,0,False,False,True,True,False
9,17.0,7.0,3,1,5,1,2.0,157.43,0,False,True,False,True,False
10,6.0,26.0,6,3,5,0,3.0,221.1,0,False,False,False,True,False
11,16.0,20.0,2,5,7,0,1.0,180.38,0,False,True,False,True,False
12,1.0,7.0,4,3,5,0,3.0,154.09,1,False,False,True,False,False
13,1.0,7.0,5,3,7,0,3.0,231.09,1,False,False,False,False,False
14,6.0,14.0,3,5,3,0,2.0,163.92,0,False,True,False,True,False
15,10.0,8.0,4,3,8,0,1.0,193.15,0,False,True,False,False,True
16,9.0,21.0,5,1,1,1,3.0,121.68,0,False,False,True,True,False
17,8.0,22.0,4,2,3,0,6.0,204.78,1,False,False,False,False,False
18,19.0,27.0,4,1,2,1,11.0,259.96,0,True,False,False,True,False
19,0.0,18.0,1,4,2,0,0.0,127.16,1,False,False,True,False,True
20,1.0,33.0,5,5,7,0,2.0,191.96,1,False,True,False,False,True
21,3.0,22.0,3,3,9,0,2.0,153.01,0,False,True,False,True,False
23,5.0,14.0,3,1,2,0,7.0,189.98,0,False,False,False,False,True
24,9.0,12.0,4,4,2,0,14.0,205.95,0,False,False,False,False,True
25,18.0,26.0,3,3,9,0,1.0,148.5,0,False,True,False,False,True
26,16.0,17.0,3,3,2,0,9.0,175.1,0,False,False,False,True,False
27,0.0,14.0,1,3,4,1,3.0,124.32,1,False,False,True,False,True
28,7.0,6.0,4,5,10,0,6.0,204.82,1,False,False,False,True,False
29,1.0,17.0,5,5,11,0,3.0,228.06,1,False,False,False,True,False
30,12.0,6.0,1,1,1,0,7.0,196.13,0,False,False,False,True,False
32,11.0,17.0,2,1,3,1,9.0,262.44,0,False,False,False,True,False
33,0.0,14.0,4,4,6,0,1.0,125.46,1,False,False,True,False,False
